Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,56.82186827,55.85265559,55.27130491,55.02003139,54.95014352,54.98781962,55.13531213,55.37604364,55.69743664,56.1163847,56.65176475,57.31386062,58.09250669,58.96112698,59.89862067,60.8733225,61.79898977,62.56851805,63.19176157,63.75842273,64.2446857,64.59642365,64.82023898,64.91206907,64.89809266,64.84596213,64.78539599,64.69783868,64.58197534,64.6565595,64.60857613,64.26446049,63.27626365,61.92554583,61.07312586,60.71860965,60.76711586,60.93385401,61.78825527,63.24960866,64.59388888,65.57852798,66.19433636,66.66061198,67.11773306,67.6501513,68.26580729,68.90346942,69.43185619,69.78652131,69.97057055,69.99914992,69.87793956,69.6400159,69.33834333,68.96195113,68.53395711,68.11112729,67.83673821,67.65409027,67.48753196,67.35096801,67.22227921,67.24361986,67.06015336
American Samoa,ASM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,48.19570346,48.67774794,49.14545967,49.45485171,49.61407842,49.66781312,49.69236187,49.73354516,49.83602717,50.04644638,50.45605077,51.01151346,51.55828615,52.06512756,52.56277056,53.12781776,53.7651457,54.44448085,55.14311918,55.86662871,56.43391714,56.78065774,57.06981008,57.33781809,57.59418058,57.82986178,58.02913411,58.19309755,58.34231342,58.48620301,58.46698113,58.27764087,58.0921113,57.93975159,57.81740844,57.71943574,57.6597599,57.65792281,57.73085021,57.88916939,58.0736793,58.24883662,58.43782585,58.64526378,58.89154845,59.20483247,59.58367702,60.01550443,60.45532708,60.84497911,61.32160026,61.90307038,62.36763383,62.66525942,62.85957431,63.0186467,63.18464145,63.35149071,63.50904073,63.63898903,63.96209921,64.44184865,64.8304252,64.9386587,64.9470758
Antigua and Barbuda,ATG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,56.07790947,56.06650159,55.94090921,55.74151158,55.05714116,54.04118726,53.17859753,52.40266828,51.74417679,51.25119479,51.42226183,52.17367795,52.98847017,53.87693886,54.84127789,55.88198437,56.91634516,57.85946369,58.73810286,59.52718051,60.26273978,61.00874514,61.70486995,62.31481196,62.6432397,62.55128423,62.28948371,62.05470241,61.80046367,61.50287009,61.22743453,61.38403774,61.95452181,62.47274612,62.8866365,63.2401358,63.54266177,63.84107638,64.19195581,64.58091534,64.88212836,65.1599206,65.54938207,65.98852139,66.46066095,67.00560856,67.52642549,67.98198375,68.37249132,68.70492913,69.09125005,69.50435528,69.89227596,70.23829125,70.49625415,70.73057522,70.91220309,70.99637441,71.08252865,71.11975789,71.03140039,70.87732406,70.69797501,70.54401466,70.4158513
Australia,AUS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.2661664,61.25703935,61.3817749,61.53119163,61.674052,61.84492383,62.0333259,62.25822506,62.50149937,62.69069395,62.83600876,62.97706702,63.11586727,63.29938156,63.54653227,63.81945099,64.11518532,64.42252983,64.7049077,64.94552927,65.13693686,65.30524171,65.4878119,65.7013156,65.94007946,66.19169382,66.44264993,66.66053803,66.81076508,66.89517067,66.9038954,66.83729521,66.75036427,66.67285639,66.62445484,66.61817077,66.6448952,66.69600032,66.75656037,66.82851506,66.90760697,66.98514048,67.08081328,67.18418007,67.27222173,67.35126874,67.41739097,67.46803922,67.51037062,67.49994985,67.40185959,67.21865099,66.96624251,66.70029943,66.44912894,66.19741597,65.96156147,65.77111794,65.59720814,65.39377242,65.10157148,64.82737843,64.68942608,64.58569209,64.42813582
Austria,AUT,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,65.73627618,65.15789633,64.73251085,64.39015658,63.94442391,63.47123238,63.01300065,62.5666714,62.15268381,61.79233463,61.56677072,61.47561591,61.50354243,61.63596538,61.76530918,61.90567088,62.21928421,62.64442749,63.1030281,63.60119396,64.18698862,64.92548585,65.72809195,66.54342725,67.19064713,67.51910849,67.65185329,67.67612862,67.61764994,67.56025417,67.52568436,67.46340146,67.37763672,67.27155267,67.14232715,67.04085489,67.02661484,67.09344214,67.19759583,67.34166115,67.51868356,67.71952937,67.92606918,68.09557455,68.03792896,67.77344639,67.55301773,67.46918627,67.47034888,67.4518073,67.51982928,67.61804398,67.56016443,67.42668212,67.3108311,67.23471905,67.13397492,66.97432683,66.80745297,66.63685542,66.43705224,66.17648166,65.86409532,65.5333446,65.16559434
Azerbaijan,AZE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.00528347,53.45848038,52.26433791,51.43197748,50.84601304,50.45966655,50.23393272,50.18232386,50.31082192,50.60104509,51.04652925,51.63789489,52.37530588,53.25051505,54.23741863,55.3069497,56.55344666,57.92593876,59.37059239,60.50634757,61.20792416,61.81313467,62.25459103,62.54219346,62.75703607,62.93474814,63.07583263,63.17577926,63.10475632,62.68972743,62.20421937,61.86575682,61.6235562,61.40784756,61.33459887,61.42953201,61.66854936,62.05070007,62.5875987,63.31859201,64.13071634,64.99950526,65.881156,66.75279417,67.55405322,68.29898358,69.02725515,69.74177338,70.49028092,71.2322757,71.80075262,72.09394295,72.0406993,71.65925309,71.20182994,70.75210323,70.28915852,69.94484983,69.86921383,69.82558188,69.72666728,69.70800012,69.6758833,69.64501197,69.63259841
Burundi,BDI,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,51.6954372,51.64152751,51.56037301,51.31637496,51.30278337,51.43545015,51.62857835,51.80521346,51.88661831,51.85922208,51.81359508,51.84358343,51.24068753,50.71301396,50.93214274,51.00591001,50.94040734,50.97827144,51.08698356,50.95475707,51.39131723,51.65703609,51.27366017,50.97930707,50.60924009,50.17419897,49.67871089,49.39149106,49.10291107,48.73195855,48.47225796,48.29631072,48.42426008,46.39465985,46.29074757,48.33117002,47.87418445,47.588361,48.15245669,48.85773278,49.33792166,49.87872992,50.39823743,50.91035558,51.48684331,51.89063328,52.10888398,52.24381067,52.45379035,52.67206887,52.62911224,52.35361204,52.04094617,51.71062291,51.38163624,50.73297048,50.0141466,49.73450828,49.87788637,50.25131297,50.60818959,51.01899224,51.52525909,52.1249631,52.76929404
Belgium,BEL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.3268128,64.05306124,63.87913257,63.75170057,63.57740508,63.37476393,63.19036404,63.04628921,62.9950555,62.99160382,63.00562966,63.04216063,63.1127259,63.25600289,63.48925297,63.7796513,64.10214634,64.39963151,64.6785423,64.97931914,65.3331696,65.78822718,66.31698248,66.86702032,67.27266504,67.43680062,67.46971409,67.44160721,67.33598617,67.17121185,66.95006449,66.70758592,66.51365864,66.37096309,66.25690348,66.12927155,65.99534438,65.86661309,65.75150604,65.66322614,65.58848142,65.55251337,65.56170717,65.58101859,65.58898839,65.64547346,65.80630268,65.97932284,66.04262068,66.00902225,65.94245181,65.77138661,65.52885622,65.29108241,65.03950583,64.84302528,64.66076201,64.44263283,64.24475253,64.07942114,63.97558965,63.86518407,63.70312803,63.56398031,63.44579223
Benin,BEN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.86287613,54.61296261,54.30717693,53.99335371,53.65611651,53.29777413,52.95393163,52.62450674,52.31234006,52.01635302,51.73854842,51.48187273,51.24939108,51.04658267,50.87728872,50.74005771,50.64496704,50.58786399,50.55367305,50.52496007,50.48296275,50.42691157,50.36729574,50.31780953,50.27808768,50.24673246,50.22569095,50.21330868,50.20677564,50.21878662,50.25038441,50.29187073,50.34700145,50.89076484,51.12225757,50.7931235,50.74556183,50.85528823,51.02049293,51.20327988,51.39904916,51.60053675,51.8021637,51.99399854,52.16324263,52.3634626,52.5033411,52.5721666,52.68190835,52.85349595,53.03726447,53.17383792,53.28723577,53.38022577,53.47101658,53.56448262,53.65661691,53.76413855,53.90632056,54.08974637,54.30685709,54.55410057,54.81683728,55.07585216,55.32936257
Burkina Faso,BFA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,57.50532423,57.45549298,57.34014381,57.05798605,56.64499029,56.23826313,55.85140169,55.47978653,55.12637065,54.7902507,54.47605869,54.16707326,53.86322009,53.57073083,53.2909404,53.01949437,52.75743615,52.51624601,52.26853077,52.00646372,51.75550539,51.51148325,51.27525188,51.0671583,50.86769857,50.64932094,50.40820421,50.16231315,49.94519384,49.76945862,49.63289179,49.49949077,49.39716908,49.38032032,49.4365257,49.53222251,49.63075767,49.74638801,49.94423817,50.21600349,50.50540455,50.80159408,51.09549234,51.35766532,51.5825282,51.76895683,51.88348768,51.90777135,51.85828596,51.78352694,51.71423382,51.66970373,51.67195552,51.71146087,51.79279025,51.92063773,52.09711549,52.31797811,52.59070378,52.93804334,53.38442087,53.90417828,54.4370276,54.97803635,55.54619791
